Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 02/03  11:00:00,970.5779496,29.09957203,0,0,448.5665436,448.5665436,1870.008558,1850.128991,19.87956673,
 02/03  12:00:00,970.4125507,29.09957203,0,0,448.5665436,448.5665436,1676.622802,1652.232023,24.39077932,
 02/03  13:00:00,920.5796198,29.09957203,0,0,448.5665436,398.7258165,1630.207228,1601.242644,28.9645841,
 02/03  14:00:00,970.2456919,29.09957203,0,0,448.5665436,448.5665436,1485.354133,1456.429493,28.92464002,
 02/03  15:00:00,970.1426488,29.09957203,0,0,448.5665436,448.5665436,1330.862482,1313.23222,17.63026203,
 02/03  16:00:00,970.1139497,29.09957203,0,0,448.5665436,448.5665436,1268.859249,1253.437735,15.42151456,
 02/03  17:00:00,1019.080385,29.09957203,0,0,448.5665436,448.5665436,1327.788739,1303.43217,24.35656912,
 02/03  18:00:00,957.7153192,29.09957203,0,0,348.8850895,398.7258165,1566.423093,1553.249216,13.17387744,
 02/03  19:00:00,758.6005467,29.09957203,0,0,249.2036353,299.0443624,1849.805677,1838.849739,10.95593776,
 02/03  20:00:00,734.249209,29.09957203,0,0,249.2036353,299.0443624,1990.703771,1981.960047,8.743723559,
 02/03  21:00:00,584.9229505,29.09957203,0,0,149.5221812,249.2036353,2173.119823,2164.366532,8.75329058,
 02/03  22:00:00,560.532146,29.09957203,0,0,149.5221812,249.2036353,2259.90946,2255.54257,4.366890553,
 02/03  23:00:00,360.7498089,11.28260812,0,0,49.84072707,199.3629083,35.00559886,32.81466147,2.19093739,
 02/03  24:00:00,323.6296404,23.27939522,0,0,24.92036353,199.3629083,128.617271,126.4265685,2.190702532,
 02/04  01:00:00,257.0512675,18.62351618,0,0,24.92036353,149.5221812,214.1507849,209.7889252,4.361859705,
 02/04  02:00:00,261.9643886,23.27939522,0,0,24.92036353,149.5221812,355.8536339,353.6627082,2.190925606,
 02/04  03:00:00,257.2756609,18.62351618,0,0,24.92036353,149.5221812,367.6702054,365.4792826,2.190922799,
 02/04  04:00:00,262.2181722,23.27939522,0,0,24.92036353,149.5221812,529.0780882,524.7163293,4.361758813,
 02/04  05:00:00,269.6574804,18.62351618,0,0,24.92036353,149.5221812,469.3036961,467.1130904,2.190605777,
 02/04  06:00:00,299.0737891,23.27939522,0,0,24.92036353,149.5221812,635.9379873,631.570095,4.367892285,
 02/04  07:00:00,430.8215866,29.09957203,0,0,49.84072707,199.3629083,1874.979385,1870.613501,4.365883589,
 02/04  08:00:00,409.8320327,29.09957203,0,0,49.84072707,199.3629083,3648.514035,3644.140654,4.373381148,
 02/04  09:00:00,658.2676991,29.09957203,0,0,249.2036353,249.2036353,2592.752883,2584.007774,8.745108274,
 02/04  10:00:00,621.1918773,29.09957203,0,0,249.2036353,249.2036353,2293.968265,2283.011509,10.9567559,
 02/04  11:00:00,572.0803034,29.09957203,0,0,249.2036353,249.2036353,2092.334076,2081.387917,10.94615921,
 02/04  12:00:00,571.9317964,29.09957203,0,0,249.2036353,249.2036353,1931.553155,1920.586165,10.96699017,
 02/04  13:00:00,571.8357593,29.09957203,0,0,249.2036353,249.2036353,1824.476608,1813.52472,10.95188797,
 02/04  14:00:00,571.7513916,29.09957203,0,0,249.2036353,249.2036353,1730.513744,1719.568329,10.94541545,
 02/04  15:00:00,322.6292296,29.09957203,0,0,74.7610906,174.4425447,1760.40075,1753.837155,6.5635951,
 02/04  16:00:00,322.6420392,29.09957203,0,0,74.7610906,174.4425447,1785.937335,1779.379664,6.557670968,
 02/04  17:00:00,371.6289152,29.09957203,0,0,74.7610906,174.4425447,1879.918815,1871.178343,8.740471092,
 02/04  18:00:00,384.979377,29.09957203,0,0,24.92036353,149.5221812,2051.382743,2047.0168,4.365942672,
 02/04  19:00:00,358.882107,10.9017778,0,0,24.92036353,149.5221812,15.97988608,13.78689765,2.192988436,
 02/04  20:00:00,342.4078793,18.73515971,0,0,24.92036353,149.5221812,62.82146408,58.45545916,4.366004923,
 02/04  21:00:00,346.6469869,22.8876076,0,0,24.92036353,149.5221812,106.321522,101.9560101,4.365511903,
 02/04  22:00:00,318.4640538,19.0153038,0,0,24.92036353,149.5221812,181.1549557,176.7848163,4.370139381,
 02/04  23:00:00,297.9271925,22.8876076,0,0,24.92036353,149.5221812,222.3167183,217.9549325,4.361785799,
 02/04  24:00:00,269.7950643,19.0153038,0,0,24.92036353,149.5221812,335.2162978,333.025409,2.190888809,
 02/05  01:00:00,261.3900847,22.8876076,0,0,24.92036353,149.5221812,323.7574365,321.567553,2.18988355,
 02/05  02:00:00,257.7046958,19.0153038,0,0,24.92036353,149.5221812,442.3634528,440.1735775,2.189875394,
 02/05  03:00:00,261.474199,22.8876076,0,0,24.92036353,149.5221812,393.2091488,391.0192816,2.189867248,
 02/05  04:00:00,257.7499894,19.0153038,0,0,24.92036353,149.5221812,487.6830677,485.4933351,2.189732641,
 02/05  05:00:00,273.7051075,22.8876076,0,0,24.92036353,149.5221812,410.2374727,408.0476218,2.189850924,
