Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 12/22  17:00:00,1.373756271,9.168890524,0,8.897654588,0,0.244981658,0.244981658,0.244981658,0.362235612,0.078921911,0.186665796,0.483839294,0.237910191
 12/22  18:00:00,1.956860415,11.22459986,0,10.94617325,0,0.301384105,0.301384105,0.301384105,0.633912342,0.138113348,0.278551203,0.587787417,0.237941158
 12/22  19:00:00,2.198466826,9.905137459,0,9.624461424,0,0.264993037,0.264993037,0.264993037,0.835928316,0.182127482,0.230146264,0.638159727,0.236721051
 12/22  20:00:00,2.033291406,9.862733075,0,9.580472662,0,0.263781882,0.263781882,0.263781882,0.780199812,0.169985661,0.143505724,0.658706327,0.236890227
 12/22  21:00:00,1.941513369,10.19864897,0,9.914355348,0,0.272974769,0.272974769,0.272974769,0.71053914,0.154808375,0.104727311,0.681351773,0.237363671
 12/22  22:00:00,1.790060178,10.8183504,0,10.53523866,0,0.290069726,0.290069726,0.290069726,0.599081964,0.130524696,0.087827064,0.665444728,0.237277428
 12/22  23:00:00,1.509022419,11.21895383,0,10.94222644,0,0.301275437,0.301275437,0.301275437,0.445828452,0.097134661,0.071814737,0.575857133,0.237063662
 12/22  24:00:00,1.272032758,11.58444086,0,11.31335477,0,0.311493819,0.311493819,0.311493819,0.31347315,0.068297813,0.061246843,0.500409133,0.236619055
 12/23  01:00:00,1.004054925,12.01518317,0,11.75030303,0,0.32352444,0.32352444,0.32352444,0.160219638,0.034907759,0.054376515,0.413914574,0.236370647
 12/23  02:00:00,0.903111608,12.34549103,0,12.08318535,0,0.332689783,0.332689783,0.332689783,0.097525008,0.021248214,0.053430309,0.381106294,0.236055944
 12/23  03:00:00,0.850653599,12.3680073,0,12.10635271,0,0.333327657,0.333327657,0.333327657,0.06269463,0.013659563,0.04717208,0.37668767,0.235709207
 12/23  04:00:00,0.842337742,12.30301342,0,12.04205822,0,0.331557418,0.331557418,0.331557418,0.06269463,0.013659563,0.04592881,0.371385321,0.235375024
 12/23  05:00:00,0.832848802,12.29636559,0,12.03640324,0,0.331401718,0.331401718,0.331401718,0.06269463,0.013659563,0.0506247,0.357356191,0.235348473
 12/23  06:00:00,0.895584763,12.57240436,0,12.30951191,0,0.338921297,0.338921297,0.338921297,0.069660697,0.015177291,0.05593269,0.398780788,0.235425332
 12/23  07:00:00,1.073404683,12.56531737,0,12.29816276,0,0.338608817,0.338608817,0.338608817,0.14628747,0.031872313,0.078772097,0.460751986,0.235419076
 12/23  08:00:00,1.319018809,12.07187174,0,11.80292672,0,0.324973343,0.324973343,0.324973343,0.299540982,0.065262348,0.107546631,0.489583505,0.23522363
 12/23  09:00:00,1.202903227,11.2239549,0,10.96008945,0,0.301767264,0.301767264,0.301767264,0.29257494,0.063744625,0.113789823,0.413914574,0.235355962
 12/23  10:00:00,0.961782552,10.41679652,0,10.15674616,0,0.279648584,0.279648584,0.279648584,0.160219638,0.034907759,0.117619797,0.352274774,0.235786478
 12/23  11:00:00,0.931544201,10.61682913,0,10.35596473,0,0.285133726,0.285133726,0.285133726,0.132355302,0.028836848,0.107546631,0.360559693,0.236029868
 12/23  12:00:00,0.879891573,8.350399863,0,8.089830874,0,0.222739617,0.222739617,0.222739617,0.132355302,0.028836848,0.118177647,0.360670159,0.235726854
 12/23  13:00:00,0.863882617,7.525501134,0,7.26381839,0,0.19999678,0.19999678,0.19999678,0.132355302,0.028836848,0.130987136,0.354594551,0.237259081
 12/23  14:00:00,0.853998242,7.301797123,0,7.038926429,0,0.193804766,0.193804766,0.193804766,0.132355302,0.028836848,0.115033093,0.366856232,0.237602476
 12/23  15:00:00,0.889731335,7.373611721,0,7.108381636,0,0.195717096,0.195717096,0.195717096,0.14628747,0.031872313,0.111229159,0.387513298,0.238539055
 12/23  16:00:00,1.014791795,7.952494309,0,7.68554791,0,0.211608379,0.211608379,0.211608379,0.202016058,0.044014134,0.130987136,0.409054088,0.238771688
 12/23  17:00:00,1.356995826,8.560703857,0,8.28892064,0,0.228221212,0.228221212,0.228221212,0.362235612,0.078921911,0.186665796,0.483839294,0.238457472
 12/23  18:00:00,1.936251823,10.4762094,0,10.19767584,0,0.280775513,0.280775513,0.280775513,0.633912342,0.138113348,0.278551203,0.587787417,0.238048102
 12/23  19:00:00,2.184922031,9.413051899,0,9.132518848,0,0.251448242,0.251448242,0.251448242,0.835928316,0.182127482,0.230146264,0.638159727,0.236578069
 12/23  20:00:00,2.035606341,9.947156734,0,9.664550354,0,0.266096817,0.266096817,0.266096817,0.780199812,0.169985661,0.143505724,0.658706327,0.237236195
 12/23  21:00:00,1.936445032,10.014461,0,9.730274986,0,0.267906432,0.267906432,0.267906432,0.71053914,0.154808375,0.104727311,0.681351773,0.237256058
 12/23  22:00:00,1.786170265,10.67704441,0,10.39395827,0,0.286179813,0.286179813,0.286179813,0.599081964,0.130524696,0.087827064,0.665444728,0.237251822
 12/23  23:00:00,1.507138996,11.15049088,0,10.87382113,0,0.299392014,0.299392014,0.299392014,0.445828452,0.097134661,0.071814737,0.575857133,0.23700603
 12/23  24:00:00,1.275766924,11.71995518,0,11.44897847,0,0.315227985,0.315227985,0.315227985,0.31347315,0.068297813,0.061246843,0.500409133,0.236509668
 12/24  01:00:00,1.011485491,12.28494118,0,12.02017877,0,0.330955005,0.330955005,0.330955005,0.160219638,0.034907759,0.054376515,0.413914574,0.236252916
 12/24  02:00:00,0.919204345,12.92993687,0,12.66766833,0,0.34878252,0.34878252,0.34878252,0.097525008,0.021248214,0.053430309,0.381106294,0.236018809
 12/24  03:00:00,0.872674035,13.16771253,0,12.90612782,0,0.355348093,0.355348093,0.355348093,0.06269463,0.013659563,0.04717208,0.37668767,0.235639328
 12/24  04:00:00,0.882581572,13.76456939,0,13.50370112,0,0.371801249,0.371801249,0.371801249,0.06269463,0.013659563,0.04592881,0.371385321,0.235288092
 12/24  05:00:00,0.879314027,13.98360936,0,13.72400521,0,0.377866944,0.377866944,0.377866944,0.06269463,0.013659563,0.0506247,0.357356191,0.234990279
 12/24  06:00:00,0.938239108,14.12107042,0,13.85870393,0,0.381575642,0.381575642,0.381575642,0.069660697,0.015177291,0.05593269,0.398780788,0.234899378
 12/24  07:00:00,1.137546329,14.89413952,0,14.62776661,0,0.402750464,0.402750464,0.402750464,0.14628747,0.031872313,0.078772097,0.460751986,0.234637367
 12/24  08:00:00,1.394406674,14.80930385,0,14.5409896,0,0.400361208,0.400361208,0.400361208,0.299540982,0.065262348,0.107546631,0.489583505,0.234592858
 12/24  09:00:00,1.266738047,13.54105784,0,13.27854949,0,0.365602085,0.365602085,0.365602085,0.29257494,0.063744625,0.113789823,0.413914574,0.233998861
 12/24  10:00:00,1.009782802,12.15885873,0,11.90009969,0,0.327648834,0.327648834,0.327648834,0.160219638,0.034907759,0.117619797,0.352274774,0.234495157
 12/24  11:00:00,0.997034233,12.994641,0,12.73454155,0,0.350623759,0.350623759,0.350623759,0.132355302,0.028836848,0.107546631,0.360559693,0.235264921
 12/24  12:00:00,0.942063273,10.60710035,0,10.3478869,0,0.284911317,0.284911317,0.284911317,0.132355302,0.028836848,0.118177647,0.360670159,0.234371309
 12/24  13:00:00,0.92013895,9.567304162,0,9.307030206,0,0.256253113,0.256253113,0.256253113,0.132355302,0.028836848,0.130987136,0.354594551,0.235850294
 12/24  14:00:00,0.896521797,8.845383385,0,8.583368212,0,0.236328321,0.236328321,0.236328321,0.132355302,0.028836848,0.115033093,0.366856232,0.236746954
 12/24  15:00:00,0.932342639,8.919505093,0,8.65601042,0,0.2383284,0.2383284,0.2383284,0.14628747,0.031872313,0.111229159,0.387513298,0.236803643
 12/24  16:00:00,1.052422144,9.317816526,0,9.052270032,0,0.249238729,0.249238729,0.249238729,0.202016058,0.044014134,0.130987136,0.409054088,0.237371784
 12/24  17:00:00,1.393568421,9.887909614,0,9.617225457,0,0.264793807,0.264793807,0.264793807,0.362235612,0.078921911,0.186665796,0.483839294,0.237358412
 12/24  18:00:00,1.972480128,11.7909505,0,11.51347616,0,0.317003818,0.317003818,0.317003818,0.633912342,0.138113348,0.278551203,0.587787417,0.236988887
