Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/23  14:00:00,0.801234996,1.821584508,0,1.187251685,0,0.032688939,0.032688939,0.032688939,0.10367836,0.022588873,0.29703868,0.328128143,0.611732106
 10/23  15:00:00,0.841741394,2.030501571,0,1.388314449,0,0.038224857,0.038224857,0.038224857,0.109135134,0.023777747,0.307123779,0.346367877,0.618330095
 10/23  16:00:00,0.991281932,2.180350086,0,1.476192196,0,0.04064442,0.04064442,0.04064442,0.136418834,0.029722188,0.357691996,0.409692493,0.675939208
 10/23  17:00:00,1.306545309,3.397986403,0,2.564862727,0,0.070619096,0.070619096,0.070619096,0.223726957,0.048744404,0.448631948,0.497710904,0.798842487
 10/23  18:00:00,1.544997807,3.002109973,0,2.053511941,0,0.056539929,0.056539929,0.056539929,0.409256585,0.089166582,0.402558891,0.540363821,0.911379007
 10/23  19:00:00,1.739638672,3.155668843,0,2.187155715,0,0.060219581,0.060219581,0.060219581,0.643897005,0.140288752,0.320359612,0.557761721,0.930095776
 10/23  20:00:00,1.804995542,3.296215609,0,2.393485242,0,0.065900511,0.065900511,0.065900511,0.709378119,0.154555418,0.281112667,0.576936826,0.862992278
 10/23  21:00:00,1.654658536,3.94602422,0,3.125638175,0,0.086059086,0.086059086,0.086059086,0.594786295,0.129588761,0.263644909,0.563467484,0.781575693
 10/23  22:00:00,1.360615872,4.311338056,0,3.627084204,0,0.099865542,0.099865542,0.099865542,0.447453915,0.097488789,0.211086729,0.487608897,0.650668466
 10/23  23:00:00,1.080482447,4.896717756,0,4.358041663,0,0.119991202,0.119991202,0.119991202,0.311034998,0.067766601,0.140854588,0.423723058,0.509491017
 10/23  24:00:00,0.784386515,5.209895185,0,4.826280528,0,0.132883356,0.132883356,0.132883356,0.158245844,0.034477737,0.091184068,0.35048351,0.359474155
 10/24  01:00:00,0.683711425,5.664038738,0,5.350901653,0,0.147327899,0.147327899,0.147327899,0.098221587,0.021399981,0.076946966,0.322702991,0.29091004
 10/24  02:00:00,0.633545452,5.863694241,0,5.569583355,0,0.153348925,0.153348925,0.153348925,0.065481055,0.014266654,0.064375311,0.318961507,0.272141547
 10/24  03:00:00,0.631996378,6.238245358,0,5.939500085,0,0.163533947,0.163533947,0.163533947,0.065481055,0.014266654,0.057130995,0.314471727,0.277085179
 10/24  04:00:00,0.63166483,6.33296756,0,5.980718086,0,0.164668814,0.164668814,0.164668814,0.065481055,0.014266654,0.067543792,0.302592515,0.331407593
 10/24  05:00:00,0.683598459,6.480293282,0,5.887697997,0,0.162107666,0.162107666,0.162107666,0.070937812,0.015455542,0.080316512,0.337668927,0.569337421
 10/24  06:00:00,0.877362217,6.729875182,0,5.688905432,0,0.156634253,0.156634253,0.156634253,0.147332381,0.032099972,0.134040371,0.39014324,1.014097576
 10/24  07:00:00,1.171117973,6.514664903,0,5.349525475,0,0.147290008,0.147290008,0.147290008,0.300121534,0.065388817,0.21164919,0.414556423,1.13658573
 10/24  08:00:00,1.097603968,5.900380703,0,4.772033285,0,0.131389751,0.131389751,0.131389751,0.267380978,0.058255502,0.272982227,0.35048351,1.104206915
 10/24  09:00:00,0.919360932,5.025675218,0,3.998882042,0,0.110102358,0.110102358,0.110102358,0.130962144,0.028533314,0.334361307,0.298289809,1.006247656
 10/24  10:00:00,0.907174898,4.884017306,0,3.972308195,0,0.109370693,0.109370693,0.109370693,0.10367836,0.022588873,0.349119881,0.305305091,0.890680394
 10/24  11:00:00,0.879738707,3.194514921,0,2.386643639,0,0.065712139,0.065712139,0.065712139,0.10367836,0.022588873,0.365248706,0.305398628,0.786836124
 10/24  12:00:00,0.845096494,2.375189481,0,1.647352857,0,0.045357035,0.045357035,0.045357035,0.10367836,0.022588873,0.356106137,0.300254088,0.707155808
